year,state,white,black,hispanic,asian,american indian/alaska native,native hawaiian/other pacific islander,two or more races
2015,National,47.9354625598,11.392095728,19.3963980975,51.2010172635,16.0512394323,20.9939496321,35.7388421243
2015,Alabama,30.7199191504,4.30161456804,15.537941973,,,,19.8968844974
2015,Alaska,,,,,,,
2015,Arizona,43.3519963974,14.3905057657,15.0159498613,,5.18022256548,,34.1968377832
2015,Arkansas,39.1741269469,5.78071806417,17.6066156405,,,,24.7944913205
2015,California,45.8174398618,8.29169895148,10.974847965,45.8081596895,,,41.3114852874
2015,Colorado,,,,,,,
2015,Connecticut,46.5429111678,12.1661442904,13.7803591433,55.4040491342,,,30.9940978965
2015,Delaware,44.2316169254,10.9598383783,15.9110971481,,,,22.0206244341
2015,District of Columbia,,,,,,,
2015,DoDEA,58.3221592699,26.2110315119,38.9426682463,41.8603884991,,,47.058653864
2015,Florida,46.7475609998,14.640567704,28.5491284968,57.6926701006,,,32.5932278904
2015,Georgia,48.6103140439,11.4385801554,23.7124243414,48.3066437867,,,34.8476362238
2015,Hawaii,42.7950615725,,23.3778958908,28.2291961378,,6.57753074447,26.9959900055
2015,Idaho,47.6372610682,,22.3708419766,,24.5721873332,,38.7896609812
2015,Illinois,42.2972773907,7.11425330801,14.5667292251,42.7099977576,,,26.2301898584
2015,Indiana,43.2202313259,4.69978159653,19.67348984,,,,35.7266042255
2015,Iowa,43.3289863431,9.86845931916,18.4003726573,,,,36.9334267851
2015,Kansas,44.0777039389,9.33018847995,19.279623146,,,,27.4533571054
2015,Kentucky,38.4722341827,10.3904284192,26.6456876765,,,,28.6269452924
2015,Louisiana,,,,,,,
2015,Maine,39.2477142396,13.8799262556,25.9240213542,,,,42.2126155191
2015,Maryland,53.4020886922,13.6915492613,23.6643838458,66.5176595416,,,31.8937545582
2015,Massachusetts,54.9252029817,12.5261493716,19.2055201654,60.4984628662,,,44.1896354333
2015,Michigan,45.735709958,9.15278731384,16.9414551839,52.2298394103,,,26.622869724
2015,Minnesota,55.5825786298,12.3667349071,17.4519395754,26.6884591552,21.2632824274,,40.0213141457
2015,Mississippi,37.1148621739,5.76972061394,13.1628737559,,,,21.4766167754
2015,Missouri,47.876179706,11.2451045151,28.7217462233,,,,38.0102962103
2015,Montana,49.0808738451,,26.3507066151,,8.54632203134,,35.2786428448
2015,Nebraska,50.5296940935,14.0246182606,19.7063806932,,,,35.7829881473
2015,Nevada,46.7024202203,7.94209913277,15.7609087802,46.2297553014,,,36.0974451203
2015,New Hampshire,48.3516511483,,24.9389665205,,,,52.452429951
2015,New Jersey,43.5130156435,15.800745363,18.7127835853,65.2244893802,,,29.1333168237
2015,New Mexico,43.8888010651,7.91500918687,15.5485831758,,7.58157124527,,31.259061341
2015,New York,46.7213853466,11.7849739817,13.2679210302,41.7544702037,,,34.1335112893
2015,North Carolina,45.3569236008,8.88241283628,19.9644816872,,12.9526753343,,19.6696417347
2015,North Dakota,47.6013482924,,25.5863887144,,15.5093635431,,32.7076108891
2015,Ohio,46.0398818357,13.371106412,19.304949229,,,,34.2324506814
2015,Oklahoma,36.5471507191,7.39865089577,15.2963311424,,20.6296110641,,31.0538539507
2015,Oregon,45.7856685087,,18.1417643686,48.7795075829,26.2806274408,,39.9532131804
2015,Pennsylvania,,,,,,,
2015,Rhode Island,43.9069140758,9.5642521386,13.4683374723,,,,32.8832485676
2015,South Carolina,46.1087529145,9.99261519859,16.6425708598,,,,31.5220305995
2015,South Dakota,47.5471924826,,18.6837369983,,11.0590603465,,33.7321737275
2015,Tennessee,46.1447154293,11.8295667099,22.7147128387,,,,37.3801055069
2015,Texas,56.5134496916,17.1660409024,27.2622015903,66.0594670034,,,41.7904088447
2015,Utah,56.7506924648,,22.863519381,,21.6298886462,,
2015,Vermont,46.2756544148,,29.7716225443,,,,42.4862504202
2015,Virginia,52.8137894325,13.5504941586,22.6765734217,59.6216458052,,,42.8716556097
2015,Washington,52.3237853449,14.0755214088,15.8722572833,53.7749077787,20.7362016199,,38.272566448
2015,West Virginia,27.8921106709,6.47764193913,19.1833534312,,,,29.0133228655
2015,Wisconsin,48.6397000522,5.23697294604,18.3016208235,44.0838916051,,,32.8644133864
2015,Wyoming,44.9747224382,,19.4354874471,,,,32.7590398649
