year,state,ell,not ell
2015,National,3.71170793465,36.2126984247
2015,Alabama,,25.7469569439
2015,Alaska,1.31048877615,35.0545585227
2015,Arizona,,32.2491568972
2015,Arkansas,11.3211402148,27.9724721986
2015,California,1.83186980546,32.7435268524
2015,Colorado,2.89830627144,42.5898973267
2015,Connecticut,1.50787738923,44.626226758
2015,Delaware,,31.6228739266
2015,District of Columbia,2.82453510124,19.3750326265
2015,DoDEA,12.4833278433,48.5907500705
2015,Florida,2.25119259006,31.7617977379
2015,Georgia,6.10416782256,30.995820323
2015,Hawaii,0.788771927714,27.3325412641
2015,Idaho,,37.9894697085
2015,Illinois,2.78684737544,36.8110995278
2015,Indiana,13.2067777745,38.3375344812
2015,Iowa,5.63438480337,36.945780464
2015,Kansas,17.525689767,36.8608780909
2015,Kentucky,5.46717142626,36.5679666243
2015,Louisiana,,23.4896602003
2015,Maine,11.0596322117,36.2628070177
2015,Maryland,6.66992786015,38.1922363232
2015,Massachusetts,5.88973377691,47.829346368
2015,Michigan,6.2218808466,32.6664054032
2015,Minnesota,5.57515426404,41.9882193351
2015,Mississippi,,20.2575059796
2015,Missouri,,36.9129038775
2015,Montana,,37.4583132721
2015,Nebraska,,38.5892896899
2015,Nevada,3.17918535028,31.6369151841
2015,New Hampshire,,45.456923406
2015,New Jersey,,41.2423187491
2015,New Mexico,1.61395515197,22.903424143
2015,New York,2.87376955751,34.5245475484
2015,North Carolina,1.05154192987,31.7100080717
2015,North Dakota,,34.2825455719
2015,Ohio,7.12975818803,36.4714114836
2015,Oklahoma,7.18901959497,30.6150933287
2015,Oregon,0.638503901133,36.6693356346
2015,Pennsylvania,5.78307193897,39.8490293823
2015,Rhode Island,1.02975101522,36.4009392375
2015,South Carolina,11.0946227307,28.537839079
2015,South Dakota,,35.1348581342
2015,Tennessee,,33.4215087748
2015,Texas,2.16412823496,31.0748368742
2015,Utah,1.17589502044,39.2326003095
2015,Vermont,,44.3331729387
2015,Virginia,3.21616065836,37.5900568854
2015,Washington,2.90443666238,39.8124590155
2015,West Virginia,,27.29777911
2015,Wisconsin,5.84421763472,40.4067502694
2015,Wyoming,,36.7575811605
